animal_id,breed,intake_type,intake_subtype,intake_date,intake_time,intake_condition,outcome,outcome_date,outcome_time,impound_num
A0752089,MIXED BREED,STRAY,AT LARGE,11/23/2022,16:10:00,APP WNL,RETURNED TO OWNER,11/23/2022,16:13:00,K22-570943
A0752089,MIXED BREED,STRAY,AT LARGE,10/12/2022,09:36:00,APP WNL,RETURNED TO OWNER,10/15/2022,14:30:00,K22-567449
A0758267,LABRADOR RETR,OWNER SURRENDER,URGENT,06/06/2023,11:21:00,APP WNL,EUTHANIZED,06/13/2023,16:12:00,K23-590042
A0759526,LABRADOR RETR,STRAY,AT LARGE,08/15/2023,16:13:00,CRITICAL,TRANSFER,08/21/2023,10:38:00,K23-597146
A0761499,AUST SHEPHERD,CONFISCATED,QUARANTINE,03/04/2023,18:36:00,APP WNL,RETURNED TO OWNER,03/11/2023,17:08:00,K23-578922
A0764900,MIXED BREED,STRAY,CONFINED,11/04/2022,17:59:00,APP INJ,ADOPTION,11/10/2022,10:00:00,K22-569410
A0773111,CHOW CHOW,STRAY,AT LARGE,01/17/2023,13:55:00,APP WNL,RETURNED TO OWNER,01/17/2023,13:56:00,K23-575197
A0778736,LABRADOR RETR,STRAY,AT LARGE,10/18/2022,16:52:00,APP WNL,RETURNED TO OWNER,10/18/2022,16:53:00,K22-567976
A0783610,GERM SHEPHERD,CONFISCATED,QUARANTINE,04/14/2023,16:33:00,APP WNL,RETURNED TO OWNER,04/20/2023,12:44:00,K23-585526
A0784903,PIT BULL,TRANSFER,OWNER SURR,02/22/2023,13:27:00,APP WNL,EUTHANIZED,03/04/2023,14:32:00,K23-578034
A0784904,PIT BULL,TRANSFER,OWNER SURR,02/22/2023,13:27:00,APP WNL,EUTHANIZED,03/03/2023,14:57:00,K23-578035
A0792560,PIT BULL,STRAY,CONFINED,02/02/2023,16:03:00,APP WNL,RETURNED TO OWNER,02/04/2023,19:44:00,K23-576356
A0794375,MIXED BREED,OWNER SURRENDER,WALK IN,11/22/2022,13:59:00,APP WNL,EUTHANIZED,12/01/2022,17:20:00,K22-570859
A0799666,LABRADOR RETR,OWNER SURRENDER,URGENT,01/08/2023,17:20:00,APP SICK,TRANSFER,01/11/2023,16:51:00,K23-574573
A0799861,MIXED BREED,OWNER SURRENDER,WALK IN,01/02/2023,15:22:00,APP WNL,TRANSFER,01/08/2023,17:58:00,K23-573973
A0804468,SCHNAUZER MIN,OWNER SURRENDER,URGENT,11/23/2022,08:42:00,CRITICAL,ADOPTION,11/30/2022,18:55:00,K22-570892
A0813527,MIXED BREED,TREATMENT,ILLNESS,10/09/2022,09:51:00,APP SICK,TREATMENT,10/09/2022,18:03:00,K22-567251
A0813527,MIXED BREED,TREATMENT,ILLNESS,05/27/2023,09:56:00,APP WNL,TREATMENT,05/27/2023,18:04:00,K23-588921
A0820414,GERM SHEPHERD,OWNER SURRENDER,WALK IN,12/17/2022,11:47:00,APP INJ,EUTHANIZED,12/17/2022,12:16:00,K22-572694
A0821356,PIT BULL,STRAY,AT LARGE,05/28/2023,12:55:00,APP SICK,EUTHANIZED,06/15/2023,15:08:00,K23-589050
A0824060,ALASKAN HUSKY,STRAY,CONFINED,11/08/2022,05:19:00,APP WNL,RETURNED TO OWNER,11/08/2022,14:16:00,K22-569642
A0824273,GERM SHEPHERD,STRAY,QUARANTINE,08/12/2023,12:10:00,APP WNL,RETURNED TO OWNER,08/23/2023,18:19:00,K23-596840
A0826212,MIXED BREED,OWNER SURRENDER,WALK IN,10/21/2022,11:46:00,APP WNL,EUTHANIZED,10/23/2022,17:47:00,K22-568197
A0826821,CHIHUAHUA SH,STRAY,AT LARGE,02/06/2023,16:45:00,APP WNL,ADOPTION,02/12/2023,15:01:00,K23-576656
A0828597,PIT BULL,OWNER SURRENDER,APPOINT,04/19/2023,13:34:00,APP WNL,EUTHANIZED,04/26/2023,00:00:00,K23-586032
A0829497,MIXED BREED,TRANSFER,STRAY,01/04/2023,12:26:00,APP WNL,RETURNED TO OWNER,01/19/2023,13:08:00,K23-574161
A0829729,LABRADOR RETR,OWNER SURRENDER,URGENT,08/25/2023,15:21:00,CRITICAL,EUTHANIZED,08/25/2023,16:11:00,K23-598236
A0829895,GERM SHEPHERD,TRANSFER,STRAY,03/15/2023,12:41:00,APP WNL,RETURNED TO OWNER,03/16/2023,12:49:00,K23-579805
A0833233,SHETLD SHEEPDOG,FOSTER,APPOINT,02/14/2023,09:32:00,APP WNL,TRANSFER,02/14/2023,09:32:00,K23-577302
A0833233,SHETLD SHEEPDOG,FOSTER,APPOINT,02/06/2023,15:29:00,APP WNL,FOSTER,02/06/2023,15:29:00,K23-576648
A0833233,SHETLD SHEEPDOG,FOSTER,APPOINT,02/04/2023,17:34:00,APP WNL,FOSTER,02/04/2023,17:34:00,K23-576511
A0833233,SHETLD SHEEPDOG,OWNER SURRENDER,EUTHANASIA REQUESTED,01/28/2023,16:55:00,APP SICK,FOSTER,02/03/2023,13:34:00,K23-576100
A0835806,LABRADOR RETR,CONFISCATED,QUARANTINE,03/25/2023,14:53:00,APP WNL,RETURNED TO OWNER,04/02/2023,15:58:00,K23-580711
A0836410,GREAT PYRENEES,OWNER SURRENDER,EUTHANASIA REQUESTED,04/24/2023,10:39:00,CRITICAL,EUTHANIZED,04/24/2023,11:21:00,K23-586524
A0842292,CAIRN TERRIER,OWNER SURRENDER,APPOINT,05/25/2023,17:43:00,APP WNL,ADOPTION,05/31/2023,13:23:00,K23-588591
A0842366,MIXED BREED,TREATMENT,FOLLOWUP,10/20/2022,10:15:00,APP INJ,TREATMENT,10/21/2022,12:07:00,K22-568120
A0842366,MIXED BREED,FOSTER,APPOINT,10/23/2022,10:18:00,APP INJ,TRANSFER,10/23/2022,10:18:00,K22-568345
A0845014,CHIHUAHUA SH,OWNER SURRENDER,URGENT,12/07/2022,13:08:00,CRITICAL,EUTHANIZED,12/07/2022,16:34:00,K22-571973
A0846316,YORKSHIRE TERR,STRAY,AT LARGE,07/02/2023,08:30:00,APP WNL,RETURNED TO OWNER,07/02/2023,08:39:00,K23-592781
A0847992,GERM SHEPHERD,STRAY,AT LARGE,01/30/2023,09:20:00,APP WNL,RETURNED TO OWNER,01/30/2023,18:49:00,K23-576182
A0848660,BOXER,STRAY,CONFINED,04/10/2023,23:53:00,APP INJ,RETURNED TO OWNER,04/11/2023,00:49:00,K23-585128
A0849869,MIXED BREED,OWNER SURRENDER,WALK IN,08/15/2023,17:51:00,APP WNL,ADOPTION,08/20/2023,17:44:00,K23-597156
A0850884,SCHNAUZER MIN,STRAY,AT LARGE,07/17/2023,18:30:00,APP WNL,TRANSFER,07/27/2023,14:25:00,K23-594505
A0852022,PIT BULL,TRANSFER,STRAY,07/05/2023,11:16:00,APP WNL,ADOPTION,07/30/2023,18:21:00,K23-593116
A0852061,CATAHOULA,STRAY,AT LARGE,03/30/2023,08:38:00,APP WNL,RETURNED TO OWNER,03/30/2023,12:39:00,K23-581119
A0852230,LABRADOR RETR,OWNER SURRENDER,URGENT,03/20/2023,15:06:00,APP SICK,EUTHANIZED,03/20/2023,16:29:00,K23-580280
A0856506,GERM SHEPHERD,DISPOS REQ,OTC,02/19/2023,13:59:00,DECEASED,DISPOSAL,02/19/2023,14:09:00,K23-577785
A0865525,LABRADOR RETR,STRAY,AT LARGE,10/18/2022,16:52:00,APP WNL,RETURNED TO OWNER,10/18/2022,16:53:00,K22-567975
A0867194,BOXER,STRAY,QUARANTINE,01/18/2023,11:03:00,APP SICK,EUTHANIZED,02/01/2023,12:26:00,K23-575245
A0868576,AMER BULLDOG,STRAY,CONFINED,09/15/2023,15:58:00,APP SICK,TRANSFER,09/18/2023,16:04:00,K23-600302
A0869598,POODLE MIN,OWNER SURRENDER,URGENT,09/28/2023,19:17:00,APP INJ,RETURNED TO OWNER,09/29/2023,12:09:00,K23-601529
A0872222,BULLMASTIFF,STRAY,CONFINED,03/09/2023,15:12:00,APP SICK,RETURNED TO OWNER,03/10/2023,17:16:00,K23-579328
A0872748,BOSTON TERRIER,DISPOS REQ,OTC,06/18/2023,02:19:00,DECEASED,DISPOSAL,06/18/2023,02:20:00,K23-591277
A0875818,SIBERIAN HUSKY,STRAY,AT LARGE,08/30/2023,08:56:00,APP WNL,RETURNED TO OWNER,08/30/2023,08:57:00,K23-598678
A0877702,PIT BULL,OWNER SURRENDER,APPOINT,12/21/2022,12:47:00,APP WNL,EUTHANIZED,01/24/2023,12:01:00,K22-573046
A0878238,PIT BULL,STRAY,AT LARGE,09/27/2023,13:05:00,APP WNL,RETURNED TO OWNER,09/27/2023,18:35:00,K23-601405
A0878435,ALASKAN HUSKY,STRAY,AT LARGE,02/10/2023,11:39:00,APP WNL,RETURNED TO OWNER,02/10/2023,11:39:00,K23-576972
A0878789,PIT BULL,CONFISCATED,QUARANTINE,02/18/2023,16:49:00,APP WNL,EUTHANIZED,03/02/2023,14:17:00,K23-577707
A0879385,GERM SHEPHERD,STRAY,AT LARGE,06/24/2023,16:09:00,APP WNL,ADOPTION,07/04/2023,11:46:00,K23-592020
A0884405,PIT BULL,OWNER SURRENDER,QUARANTINE,10/31/2022,17:48:00,DECEASED,DISPOSAL,11/03/2022,14:44:00,K22-569007
A0887428,LABRADOR RETR,STRAY,AT LARGE,01/20/2023,11:50:00,APP WNL,RETURNED TO OWNER,01/20/2023,11:51:00,K23-575400
A0887657,PIT BULL,OWNER SURRENDER,APPOINT,12/10/2022,11:53:00,APP WNL,ADOPTION,01/08/2023,15:27:00,K22-572180
A0888193,BORDER COLLIE,OWNER SURRENDER,APPOINT,07/13/2023,15:54:00,APP WNL,EUTHANIZED,07/15/2023,12:56:00,K23-594036
A0889986,PIT BULL,STRAY,AT LARGE,08/18/2023,13:44:00,APP WNL,RETURNED TO OWNER,08/28/2023,11:38:00,K23-597372
A0890205,PIT BULL,STRAY,AT LARGE,07/04/2023,16:22:00,APP SICK,RETURNED TO OWNER,07/07/2023,14:42:00,K23-593060
A0890586,BERNESE HOUND,STRAY,CONFINED,12/25/2022,03:46:00,APP WNL,RETURNED TO OWNER,12/25/2022,03:54:00,K22-573310
A0892237,CHIHUAHUA SH,OWNER SURRENDER,APPOINT,05/11/2023,14:24:00,APP WNL,TRANSFER,05/21/2023,16:20:00,K23-587983
A0894118,BOXER,CONFISCATED,QUARANTINE,03/02/2023,16:43:00,APP WNL,RETURNED TO OWNER,03/12/2023,15:10:00,K23-578722
A0900210,DOBERMAN PINSCH,FOSTER,APPOINT,12/12/2022,17:10:00,APP WNL,ADOPTION,12/12/2022,17:11:00,K22-572346
A0902473,LABRADOR RETR,STRAY,AT LARGE,09/08/2023,18:42:00,APP WNL,TRANSFER,10/02/2023,13:36:00,K23-599605
A0902937,LABRADOR RETR,STRAY,AT LARGE,08/07/2023,10:39:00,APP WNL,RETURNED TO OWNER,08/14/2023,16:27:00,K23-596402
A0905337,SCHNAUZER MIN,DISPOS REQ,OTC,04/13/2023,12:41:00,DECEASED,DISPOSAL,04/13/2023,13:35:00,K23-585428
A0909732,STAFFORDSHIRE,STRAY,CONFINED,06/26/2023,17:17:00,APP INJ,EUTHANIZED,07/02/2023,15:28:00,K23-592236
A0910094,LABRADOR RETR,OWNER SURRENDER,APPOINT,04/15/2023,12:06:00,APP WNL,TRANSFER,04/25/2023,12:43:00,K23-585585
A0911735,CHIHUAHUA SH,STRAY,AT LARGE,02/13/2023,12:30:00,APP WNL,ADOPTION,02/19/2023,17:13:00,K23-577235
A0912067,ALASKAN HUSKY,STRAY,AT LARGE,12/16/2022,09:50:00,APP WNL,RETURNED TO OWNER,12/16/2022,09:51:00,K22-572596
A0912438,BOXER,STRAY,AT LARGE,03/17/2023,09:24:00,CRITICAL,RETURNED TO OWNER,03/17/2023,10:55:00,K23-579968
A0912916,MIXED BREED,STRAY,CONFINED,09/06/2023,19:56:00,APP WNL,FOSTER,09/20/2023,11:44:00,K23-599429
A0912959,LABRADOR RETR,OWNER SURRENDER,APPOINT,06/04/2023,13:35:00,APP WNL,TRANSFER,06/18/2023,16:45:00,K23-589998
A0913927,CHIHUAHUA SH,DISPOS REQ,OTC,09/24/2023,12:07:00,DECEASED,DISPOSAL,09/24/2023,12:34:00,K23-601084
A0914396,AMERICAN STAFF,CONFISCATED,QUARANTINE,07/29/2023,14:34:00,APP WNL,RETURNED TO OWNER,08/04/2023,12:09:00,K23-595536
A0914508,GERM SHEPHERD,STRAY,AT LARGE,01/06/2023,10:44:00,APP WNL,RETURNED TO OWNER,01/06/2023,11:18:00,K23-574365
A0916809,LABRADOR RETR,TRANSFER,STRAY,01/25/2023,12:24:00,APP WNL,ADOPTION,02/09/2023,19:04:00,K23-575814
A0917026,MIXED BREED,OWNER SURRENDER,WALK IN,10/06/2022,15:14:00,APP INJ,EUTHANIZED,10/15/2022,13:29:00,K22-567050
A0917528,BASSET HOUND,STRAY,AT LARGE,09/04/2023,08:02:00,APP WNL,FOSTER,09/10/2023,14:59:00,K23-599158
A0918691,LABRADOR RETR,STRAY,AT LARGE,10/27/2022,18:07:00,APP WNL,RETURNED TO OWNER,10/28/2022,12:51:00,K22-568681
A0920200,CHIHUAHUA SH,CONFISCATED,QUARANTINE,11/25/2022,21:29:00,APP WNL,RETURNED TO OWNER,12/05/2022,13:08:00,K22-571054
A0920595,MIXED BREED,FOSTER,APPOINT,06/06/2023,17:24:00,APP WNL,ADOPTION,06/06/2023,17:25:00,K23-590109
A0920595,MIXED BREED,STRAY,AT LARGE,04/29/2023,14:40:00,APP WNL,FOSTER,06/01/2023,16:47:00,K23-587231
A0920595,MIXED BREED,OWNER SURRENDER,APPOINT,04/07/2023,17:49:00,APP WNL,ADOPTION,04/28/2023,18:04:00,K23-584617
A0920595,MIXED BREED,TREATMENT,HEART WORM,09/20/2023,10:48:00,APP WNL,TREATMENT,09/21/2023,16:44:00,K23-600681
A0920595,MIXED BREED,TREATMENT,HEART WORM,08/18/2023,09:38:00,APP WNL,TREATMENT,08/18/2023,10:46:00,K23-597336
A0922144,BLACK MOUTH CUR,STRAY,AT LARGE,09/16/2023,21:54:00,APP WNL,RETURNED TO OWNER,09/17/2023,13:26:00,K23-600422
A0923780,GERM SHEPHERD,STRAY,AT LARGE,02/06/2023,11:28:00,APP WNL,RETURNED TO OWNER,02/06/2023,11:31:00,K23-576611
A0925584,AMERICAN STAFF,STRAY,AT LARGE,01/26/2023,09:58:00,APP WNL,EUTHANIZED,02/04/2023,12:46:00,K23-575883
A0927222,AMERICAN STAFF,STRAY,AT LARGE,11/10/2022,08:32:00,APP WNL,RETURNED TO OWNER,11/10/2022,09:00:00,K22-569815
A0927902,GERM SHEPHERD,STRAY,AT LARGE,12/11/2022,14:31:00,APP WNL,RETURNED TO OWNER,12/18/2022,13:29:00,K22-572253
A0928185,PIT BULL,STRAY,CONFINED,02/01/2023,16:06:00,APP WNL,RETURNED TO OWNER,02/03/2023,15:28:00,K23-576307
A0928192,POODLE MIN,STRAY,AT LARGE,11/13/2022,09:29:00,APP WNL,RETURNED TO OWNER,11/13/2022,10:40:00,K22-570086
A0928938,GERM SHEPHERD,CONFISCATED,QUARANTINE,11/07/2022,20:20:00,APP SICK,EUTHANIZED,11/21/2022,15:01:00,K22-569633
A0929010,PIT BULL,OWNER SURRENDER,WALK IN,02/14/2023,13:15:00,APP WNL,EUTHANIZED,02/14/2023,15:04:00,K23-577330
A0930018,CAIRN TERRIER,CONFISCATED,QUARANTINE,01/10/2023,19:00:00,APP WNL,RETURNED TO OWNER,01/21/2023,13:45:00,K23-574718
A0930018,CAIRN TERRIER,OWNER SURRENDER,APPOINT,01/08/2023,12:08:00,APP WNL,ADOPTION,01/10/2023,19:03:00,K23-574527
A0930062,CHIHUAHUA SH,TRANSFER,STRAY,12/11/2022,11:17:00,APP SICK,ADOPTION,12/18/2022,14:37:00,K22-572235
A0931732,SHIH TZU,OWNER SURRENDER,APPOINT,01/08/2023,15:09:00,APP WNL,RETURNED TO OWNER,01/10/2023,17:55:00,K23-574547
A0932911,AMERICAN STAFF,FOSTER,APPOINT,07/11/2023,13:29:00,APP WNL,ADOPTION,07/11/2023,13:30:00,K23-593837
A0933114,PIT BULL,TRANSFER,STRAY,01/07/2023,12:02:00,APP WNL,ADOPTION,02/13/2023,13:08:00,K23-574447
A0938810,PIT BULL,STRAY,AT LARGE,03/22/2023,12:51:00,APP WNL,RETURNED TO OWNER,03/22/2023,13:51:00,K23-580432
A0942077,CHIHUAHUA SH,TRANSFER,STRAY,04/22/2023,13:19:00,APP INJ,ADOPTION,04/29/2023,12:29:00,K23-586334
A0942340,CHIHUAHUA SH,OWNER SURRENDER,URGENT,06/28/2023,14:54:00,APP WNL,TRANSFER,07/04/2023,17:03:00,K23-592442
A0942352,LABRADOR RETR,OWNER SURRENDER,WALK IN,11/13/2022,12:58:00,APP WNL,RETURNED TO OWNER,11/13/2022,17:30:00,K22-570093
A0942626,GERM SHEPHERD,OWNER SURRENDER,WALK IN,11/12/2022,15:46:00,APP INJ,RETURNED TO OWNER,11/13/2022,13:49:00,K22-570034
A0942697,CHIHUAHUA SH,OWNER SURRENDER,APPOINT,04/01/2023,15:09:00,APP WNL,TRANSFER,04/04/2023,13:58:00,K23-581473
A0943002,CHIHUAHUA SH,OWNER SURRENDER,APPOINT,04/01/2023,15:08:00,APP WNL,ADOPTION,04/03/2023,16:05:00,K23-581472
A0943363,DOGO ARGENTINO,STRAY,AT LARGE,04/05/2023,12:00:00,APP WNL,EUTHANIZED,04/11/2023,15:37:00,K23-582545
A0947174,GERM SHEPHERD,OWNER SURRENDER,APPOINT,07/27/2023,17:04:00,APP SICK,ADOPTION,08/02/2023,18:56:00,K23-595398
A0947684,DOBERMAN PINSCH,STRAY,AT LARGE,09/03/2023,12:04:00,APP WNL,RETURNED TO OWNER,09/03/2023,16:25:00,K23-599096
A0947996,MIXED BREED,OWNER SURRENDER,URGENT,11/23/2022,08:27:00,CRITICAL,TRANSFER,12/01/2022,16:49:00,K22-570891
A0949376,PIT BULL,DISPOS REQ,FIELD,09/08/2023,21:32:00,DECEASED,OTHER,09/08/2023,00:00:00,K23-599615
A0950959,BOXER,STRAY,AT LARGE,01/16/2023,11:10:00,APP WNL,RETURNED TO OWNER,01/20/2023,14:18:00,K23-575101
A0952309,MIXED BREED,OWNER SURRENDER,WALK IN,02/08/2023,13:59:00,APP WNL,ADOPTION,02/18/2023,14:32:00,K23-576806
A0952513,PIT BULL,CONFISCATED,QUARANTINE,01/04/2023,20:38:00,APP WNL,RETURNED TO OWNER,01/14/2023,18:50:00,K23-574227
A0953056,CHIHUAHUA SH,TREATMENT,HEART WORM,08/04/2023,09:51:00,APP WNL,TREATMENT,08/04/2023,18:04:00,K23-596114
A0953056,CHIHUAHUA SH,TREATMENT,FOLLOWUP,07/24/2023,09:23:00,APP WNL,TREATMENT,07/25/2023,16:57:00,K23-595062
A0953056,CHIHUAHUA SH,STRAY,AT LARGE,07/05/2023,13:48:00,APP INJ,FOSTER,07/11/2023,17:17:00,K23-593141
A0953273,GERM SHEPHERD,OWNER SURRENDER,APPOINT,04/19/2023,15:49:00,APP WNL,RETURNED TO OWNER,04/25/2023,11:23:00,K23-586056
A0954418,AMERICAN STAFF,OWNER SURRENDER,APPOINT,05/17/2023,11:11:00,APP WNL,ADOPTION,05/24/2023,18:59:00,K23-587538
A0955394,MIXED BREED,STRAY,AT LARGE,12/16/2022,11:32:00,APP INJ,EUTHANIZED,01/12/2023,14:19:00,K22-572613
A0958178,BOXER,TRANSFER,OWNER SURR,06/09/2023,12:00:00,APP WNL,EUTHANIZED,06/18/2023,10:47:00,K23-590372
A0959996,MIXED BREED,OWNER SURRENDER,WALK IN,02/08/2023,13:59:00,APP WNL,ADOPTION,02/14/2023,17:11:00,K23-576805
A0960044,MIXED BREED,STRAY,CONFINED,10/17/2022,17:50:00,APP WNL,EUTHANIZED,11/04/2022,11:49:00,K22-567893
